order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,total_fulfillment_time,prep_time_share,delivery_time_share,rating_given,rating_value,is_promoter,is_weekend,cost_band,customer_order_count,is_repeat_customer,restaurant_order_count,cuisine_order_count,cuisine_grouped,is_low_volume_restaurant
1477147,337525,Hangawi,Korean,30.75,Weekend,Not given,25,20,45,0.556,0.444,False,,False,True,High,2,True,2,13,Other,True
1477685,358141,Blue Ribbon Sushi Izakaya,Japanese,12.08,Weekend,Not given,25,23,48,0.521,0.479,False,,False,True,Low,1,False,29,470,Japanese,False
1477070,66393,Cafe Habana,Mexican,12.23,Weekday,5,23,28,51,0.451,0.549,True,5.0,True,False,Medium,1,False,16,77,Mexican,False
1477334,106968,Blue Ribbon Fried Chicken,American,29.2,Weekend,3,25,15,40,0.625,0.375,True,3.0,False,True,High,2,True,96,584,American,False
1478249,76942,Dirty Bird to Go,American,11.59,Weekday,4,25,24,49,0.51,0.49,True,4.0,True,False,Low,3,True,4,584,American,False
1477224,147468,Tamarind TriBeCa,Indian,25.22,Weekday,3,20,24,44,0.455,0.545,True,3.0,False,False,High,3,True,27,73,Indian,False
1477894,157711,The Meatball Shop,Italian,6.07,Weekend,Not given,28,21,49,0.571,0.429,False,,False,True,Low,1,False,132,298,Italian,False
1477859,89574,Barbounia,Mediterranean,5.97,Weekday,3,33,30,63,0.524,0.476,True,3.0,False,False,Low,1,False,6,46,Mediterranean,False
1477174,121706,Anjappar Chettinad,Indian,16.44,Weekday,5,21,26,47,0.447,0.553,True,5.0,True,False,Medium,3,True,1,73,Indian,True
1477311,39705,Bukhara Grill,Indian,7.18,Weekday,5,29,26,55,0.527,0.473,True,5.0,True,False,Low,2,True,2,73,Indian,True
1477895,143926,Big Wong Restaurant,Chinese,5.92,Weekday,Not given,34,28,62,0.548,0.452,False,,False,False,Low,1,False,1,215,Chinese,True
1478437,221206,Empanada Mama (closed),Mexican,8.1,Weekend,5,23,22,45,0.511,0.489,True,5.0,True,True,Low,1,False,13,77,Mexican,False
1476966,129969,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,23,17,40,0.575,0.425,True,5.0,True,True,High,2,True,96,584,American,False
1477449,104548,Pylos,Mediterranean,11.3,Weekend,3,24,23,47,0.511,0.489,True,3.0,False,True,Low,3,True,5,46,Mediterranean,False
1478198,62667,Lucky's Famous Burgers,American,12.13,Weekday,Not given,23,30,53,0.434,0.566,False,,False,False,Low,4,True,6,584,American,False
1477414,66222,Shake Shack,American,16.2,Weekend,5,33,25,58,0.569,0.431,True,5.0,True,True,Medium,1,False,219,584,American,False
1477486,104555,Sushi of Gari,Japanese,16.98,Weekend,Not given,30,16,46,0.652,0.348,False,,False,True,Medium,3,True,16,470,Japanese,False
1477373,139885,Blue Ribbon Sushi Izakaya,Japanese,33.03,Weekend,Not given,21,22,43,0.488,0.512,False,,False,True,High,2,True,29,470,Japanese,False
1477138,47280,RedFarm Hudson,Chinese,14.12,Weekend,4,25,24,49,0.51,0.49,True,4.0,True,True,Medium,5,True,55,215,Chinese,False
1477354,67487,Blue Ribbon Sushi,Japanese,16.2,Weekend,4,35,26,61,0.574,0.426,True,4.0,True,True,Medium,2,True,119,470,Japanese,False
1478296,250494,Five Guys Burgers and Fries,American,24.2,Weekend,4,21,24,45,0.467,0.533,True,4.0,True,True,High,8,True,29,584,American,False
1478226,137565,Shake Shack,American,15.91,Weekend,Not given,25,20,45,0.556,0.444,False,,False,True,Medium,3,True,219,584,American,False
1478287,150599,Shake Shack,American,29.1,Weekday,5,21,30,51,0.412,0.588,True,5.0,True,False,High,1,False,219,584,American,False
1478014,54630,Tortaria,Mexican,8.92,Weekend,Not given,33,16,49,0.673,0.327,False,,False,True,Low,3,True,4,77,Mexican,False
1476714,363783,Cafe Mogador,Middle Eastern,15.86,Weekday,Not given,32,29,61,0.525,0.475,False,,False,False,Medium,1,False,18,49,Middle Eastern,False
1476693,41877,Cafe Mogador,Middle Eastern,29.1,Weekday,5,20,29,49,0.408,0.592,True,5.0,True,False,High,2,True,18,49,Middle Eastern,False
1476995,371590,The Meatball Shop,Italian,21.88,Weekday,5,24,27,51,0.471,0.529,True,5.0,True,False,High,2,True,132,298,Italian,False
1476844,175290,Otto Enoteca Pizzeria,Italian,14.02,Weekend,Not given,24,16,40,0.6,0.4,False,,False,True,Medium,4,True,12,298,Italian,False
1477015,76686,Vezzo Thin Crust Pizza,Italian,9.17,Weekend,Not given,21,24,45,0.467,0.533,False,,False,True,Low,1,False,5,298,Italian,False
1476889,149984,Sushi of Gari 46,Japanese,12.18,Weekday,Not given,20,29,49,0.408,0.592,False,,False,False,Low,4,True,37,470,Japanese,False
1478289,318874,The Kati Roll Company,Indian,31.33,Weekend,5,28,25,53,0.528,0.472,True,5.0,True,True,High,2,True,16,73,Indian,False
1477699,302790,Klong,Thai,29.05,Weekend,5,35,24,59,0.593,0.407,True,5.0,True,True,High,3,True,1,19,Other,True
1476855,317794,5 Napkin Burger,American,8.39,Weekday,Not given,35,24,59,0.593,0.407,False,,False,False,Low,1,False,5,584,American,False
1477748,105349,TAO,Japanese,9.12,Weekend,Not given,34,18,52,0.654,0.346,False,,False,True,Low,1,False,49,470,Japanese,False
1478244,181782,Parm,Italian,29.1,Weekend,5,30,26,56,0.536,0.464,True,5.0,True,True,High,2,True,68,298,Italian,False
1478310,65224,Sushi Samba,Japanese,15.47,Weekend,Not given,32,26,58,0.552,0.448,False,,False,True,Medium,1,False,11,470,Japanese,False
1478017,148649,Blue Ribbon Sushi,Japanese,16.01,Weekday,4,23,31,54,0.426,0.574,True,4.0,True,False,Medium,2,True,119,470,Japanese,False
1476871,118709,The Meatball Shop,Italian,24.3,Weekday,4,31,29,60,0.517,0.483,True,4.0,True,False,High,1,False,132,298,Italian,False
1477999,208020,Haru Gramercy Park,Japanese,29.83,Weekday,5,20,32,52,0.385,0.615,True,5.0,True,False,High,2,True,1,470,Japanese,True
1476891,220693,Shake Shack,American,19.89,Weekend,Not given,27,19,46,0.587,0.413,False,,False,True,High,1,False,219,584,American,False
1477425,378482,Chipotle Mexican Grill $1.99 Delivery,Mexican,19.35,Weekend,4,21,18,39,0.538,0.462,True,4.0,True,True,Medium,4,True,23,77,Mexican,False
1478143,337525,TAO,Japanese,33.22,Weekend,Not given,23,19,42,0.548,0.452,False,,False,True,High,2,True,49,470,Japanese,False
1477267,133637,RedFarm Broadway,Chinese,24.25,Weekend,5,22,15,37,0.595,0.405,True,5.0,True,True,High,1,False,59,215,Chinese,False
1477728,107909,Cafeteria,American,16.44,Weekend,Not given,33,22,55,0.6,0.4,False,,False,True,Medium,6,True,9,584,American,False
1476908,365237,Five Guys Burgers and Fries,American,22.75,Weekend,5,30,20,50,0.6,0.4,True,5.0,True,True,High,1,False,29,584,American,False
1476581,322162,The Meatball Shop,Italian,6.74,Weekend,5,29,23,52,0.558,0.442,True,5.0,True,True,Low,1,False,132,298,Italian,False
1476930,198802,DuMont Burger,American,29.05,Weekend,5,22,30,52,0.423,0.577,True,5.0,True,True,High,4,True,3,584,American,True
1477621,122864,Sarabeth's East,American,13.78,Weekend,4,34,24,58,0.586,0.414,True,4.0,True,True,Medium,1,False,7,584,American,False
1478354,52037,Blue Ribbon Fried Chicken,American,19.89,Weekday,Not given,27,24,51,0.529,0.471,False,,False,False,High,2,True,96,584,American,False
1477251,81110,Hill Country Fried Chicken,Southern,16.93,Weekend,5,33,21,54,0.611,0.389,True,5.0,True,True,Medium,5,True,14,17,Other,False
1477656,300003,Bistango,Italian,21.88,Weekend,Not given,21,19,40,0.525,0.475,False,,False,True,High,3,True,2,298,Italian,True
1477883,91817,Blue Ribbon Fried Chicken,American,29.39,Weekend,Not given,27,28,55,0.491,0.509,False,,False,True,High,5,True,96,584,American,False
1477205,112036,TAO,Japanese,20.23,Weekend,5,22,20,42,0.524,0.476,True,5.0,True,True,High,1,False,49,470,Japanese,False
1478107,73895,RedFarm Broadway,Chinese,29.1,Weekend,Not given,22,23,45,0.489,0.511,False,,False,True,High,2,True,59,215,Chinese,False
1477760,130507,Jack's Wife Freda,Mediterranean,22.75,Weekend,3,35,29,64,0.547,0.453,True,3.0,False,True,High,1,False,25,46,Mediterranean,False
1476562,129486,Mamoun's Falafel,Mediterranean,14.12,Weekend,3,31,15,46,0.674,0.326,True,3.0,False,True,Medium,2,True,7,46,Mediterranean,False
1477692,313340,Sushi of Gari 46,Japanese,14.6,Weekday,3,24,24,48,0.5,0.5,True,3.0,False,False,Medium,1,False,37,470,Japanese,False
1477889,177250,RedFarm Hudson,Chinese,12.23,Weekday,5,25,33,58,0.431,0.569,True,5.0,True,False,Medium,3,True,55,215,Chinese,False
1477243,176234,Prosperity Dumpling,Chinese,14.02,Weekend,5,20,30,50,0.4,0.6,True,5.0,True,True,Medium,1,False,3,215,Chinese,True
1477560,371677,Blue Ribbon Fried Chicken,American,6.79,Weekday,Not given,33,28,61,0.541,0.459,False,,False,False,Low,1,False,96,584,American,False
1476896,388918,Blue Ribbon Fried Chicken,American,24.25,Weekend,Not given,28,21,49,0.571,0.429,False,,False,True,High,1,False,96,584,American,False
